,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
197.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),197.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_197.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,82,Normal,3/7/19,22.09,0.99,Switch_N
198.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),198.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_198.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,82,Normal,3/7/19,18.74,0.09,Switch_N
199.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),199.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_199.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,82,Normal,3/1/19,25.78,-0.51,Switch_N
200.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),200.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_200.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,82,Normal,3/1/19,25.12,-0.26,Switch_N
202.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),202.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_202.mzML,not applicable,UBERON:0001988,not applicable,3709312,7,82,Deficient,3/4/19,20.75,-1.15,Switch_N
203.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),203.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_203.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,82,Deficient,3/4/19,24.35,-0.43,Switch_N
204.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),204.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_204.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,82,Deficient,3/1/19,26.5,-0.26,Switch_N
205.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),205.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_205.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,82,Deficient,3/1/19,26.6,-0.25,Switch_N
207.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),207.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_207.mzML,not applicable,UBERON:0001988,not applicable,3709310,12,82,0.6% Fe,3/1/19,22.2,1.04,Switch_N
208.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),208.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_208.mzML,not applicable,UBERON:0001988,not applicable,3709310,13,82,0.6% Fe,3/1/19,21.35,0.87,Switch_N
210.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),210.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/25/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_210.mzML,not applicable,UBERON:0001988,not applicable,3709317,15,82,0.6% Fe,3/7/19,22.78,1.5,Switch_N
