,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
77.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),77.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_77.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,26,Normal,3/7/19,17,0.66,Switch_N
78.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),78.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_78.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,26,Normal,3/7/19,14.88,0.78,Switch_N
79.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),79.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_79.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,26,Normal,3/1/19,21.87,1.13,Switch_N
80.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),80.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_80.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,26,Normal,3/1/19,20.2,1.07,Switch_N
83.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),83.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_83.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,26,Deficient,3/4/19,19.53,0.96,Switch_N
84.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),84.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_84.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,26,Deficient,3/1/19,22.3,1.58,Switch_N
85.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),85.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_85.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,26,Deficient,3/1/19,22.3,1.85,Switch_N
87.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),87.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_87.mzML,not applicable,UBERON:0001988,not applicable,3709310,12,26,0.6% Fe,3/1/19,18.05,1.57,Switch_N
88.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),88.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_88.mzML,not applicable,UBERON:0001988,not applicable,3709310,13,26,0.6% Fe,3/1/19,16.7,0.91,Switch_N
89.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),89.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/7/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_89.mzML,not applicable,UBERON:0001988,not applicable,3709317,14,26,0.6% Fe,3/7/19,17.73,0.89,Switch_N
