,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
61.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),61.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_61.mzML,not applicable,UBERON:0001988,not applicable,3709314,1,19,Normal,3/7/19,16.33,1.45,Switch_N
62.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),62.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_62.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,19,Normal,3/7/19,16.34,1.25,Switch_N
63.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),63.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_63.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,19,Normal,3/7/19,14.1,1.49,Switch_N
64.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),64.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_64.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,19,Normal,3/1/19,20.74,1.71,Switch_N
65.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),65.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_65.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,19,Normal,3/1/19,19.13,1.01,Switch_N
66.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),66.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_66.mzML,not applicable,UBERON:0001988,not applicable,3709312,6,19,Deficient,3/4/19,14.08,1.46,Switch_N
67.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),67.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_67.mzML,not applicable,UBERON:0001988,not applicable,3709312,7,19,Deficient,3/4/19,16.74,0.31,Switch_N
68.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),68.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_68.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,19,Deficient,3/4/19,18.57,0.48,Switch_N
69.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),69.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_69.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,19,Deficient,3/1/19,20.72,1.95,Switch_N
70.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),70.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_70.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,19,Deficient,3/1/19,20.45,2.78,Switch_N
71.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),71.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_71.mzML,not applicable,UBERON:0001988,not applicable,3709310,11,19,0.6% Fe,3/1/19,16.54,0.09,Switch_N
72.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),72.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_72.mzML,not applicable,UBERON:0001988,not applicable,3709310,12,19,0.6% Fe,3/1/19,16.48,0.26,Switch_N
73.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),73.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_73.mzML,not applicable,UBERON:0001988,not applicable,3709310,13,19,0.6% Fe,3/1/19,15.79,0.39,Switch_N
74.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),74.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_74.mzML,not applicable,UBERON:0001988,not applicable,3709317,14,19,0.6% Fe,3/7/19,16.84,1.75,Switch_N
75.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),75.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/1/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_75.mzML,not applicable,UBERON:0001988,not applicable,3709317,15,19,0.6% Fe,3/7/19,13.95,1.6,Switch_N
