,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
137.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),137.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_137.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,54,Normal,3/7/19,19.97,0.71,Normal
138.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),138.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_138.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,54,Normal,3/7/19,18,1.7,Normal
139.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),139.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_139.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,54,Normal,3/1/19,23.67,-0.25,Normal
140.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),140.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_140.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,54,Normal,3/1/19,23.32,0.12,Normal
142.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),142.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_142.mzML,not applicable,UBERON:0001988,not applicable,3709312,7,54,Deficient,3/4/19,19.65,0.19,Deficient
143.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),143.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_143.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,54,Deficient,3/4/19,22.46,0.96,Deficient
144.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),144.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_144.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,54,Deficient,3/1/19,24.86,0.49,Deficient
145.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),145.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_145.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,54,Deficient,3/1/19,25.84,0.99,Deficient
147.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),147.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_147.mzML,not applicable,UBERON:0001988,not applicable,3709310,12,54,0.6% Fe,3/1/19,19.35,0.43,0.6% Fe
148.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),148.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,5/28/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_148.mzML,not applicable,UBERON:0001988,not applicable,3709310,13,54,0.6% Fe,3/1/19,18.74,0.35,0.6% Fe
