,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
211.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),211.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_211.mzML,not applicable,UBERON:0001988,not applicable,3709314,1,96,Normal,3/7/19,22.4,-0.67,Switch_N
212.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),212.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_212.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,96,Normal,3/7/19,21.84,-0.25,Switch_N
213.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),213.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_213.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,96,Normal,3/7/19,19.38,0.64,Switch_N
214.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),214.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_214.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,96,Normal,3/1/19,25.4,-0.38,Switch_N
215.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),215.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_215.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,96,Normal,3/1/19,25.46,0.34,Switch_N
216.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),216.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_216.mzML,not applicable,UBERON:0001988,not applicable,3709312,6,96,Deficient,3/4/19,17.1,6.05,Switch_N
217.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),217.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_217.mzML,not applicable,UBERON:0001988,not applicable,3709312,7,96,Deficient,3/4/19,22.6,1.85,Switch_N
218.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),218.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_218.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,96,Deficient,3/4/19,25.1,0.75,Switch_N
219.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),219.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_219.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,96,Deficient,3/1/19,27.5,1,Switch_N
220.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),220.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,7/9/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_220.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,96,Deficient,3/1/19,27.8,1.2,Switch_N
