,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
151.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),151.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_151.mzML,not applicable,UBERON:0001988,not applicable,3709314,1,61,Normal,3/7/19,21.28,1.15,Normal
152.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),152.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_152.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,61,Normal,3/7/19,20.91,0.94,Normal
153.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),153.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_153.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,61,Normal,3/7/19,18.16,0.16,Normal
154.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),154.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_154.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,61,Normal,3/1/19,24.21,0.54,Normal
155.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),155.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_155.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,61,Normal,3/1/19,23.57,0.25,Normal
156.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),156.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_156.mzML,not applicable,UBERON:0001988,not applicable,3709312,6,61,Deficient,3/4/19,13.23,-0.85,Deficient
157.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),157.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_157.mzML,not applicable,UBERON:0001988,not applicable,3709312,7,61,Deficient,3/4/19,20.4,0.75,Deficient
158.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),158.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_158.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,61,Deficient,3/4/19,22.4,-0.06,Deficient
159.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),159.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_159.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,61,Deficient,3/1/19,25.77,0.91,Deficient
160.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),160.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_160.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,61,Deficient,3/1/19,26.12,0.28,Deficient
161.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),161.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/4/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_161.mzML,not applicable,UBERON:0001988,not applicable,3709310,11,61,0.6% Fe,3/1/19,19.06,0.36,0.6% Fe
