,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_cage_no,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet,ATTRIBUTE_Birth date,ATTRIBUTE_Mouse_weight,ATTRIBUTE_Change_mouse_weight,ATTRIBUTE_Diet_2
167.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),167.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_167.mzML,not applicable,UBERON:0001988,not applicable,3709314,2,68,Normal,3/7/19,21.95,1.04,Normal
168.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),168.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_168.mzML,not applicable,UBERON:0001988,not applicable,3709314,3,68,Normal,3/7/19,18.1,-0.06,Normal
169.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),169.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_169.mzML,not applicable,UBERON:0001988,not applicable,3709316,4,68,Normal,3/1/19,24.6,0.39,Normal
170.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),170.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_170.mzML,not applicable,UBERON:0001988,not applicable,3709316,5,68,Normal,3/1/19,23.82,0.25,Normal
172.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),172.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_172.mzML,not applicable,UBERON:0001988,not applicable,3709312,7,68,Deficient,3/4/19,21.14,0.74,Deficient
173.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),173.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_173.mzML,not applicable,UBERON:0001988,not applicable,3709312,8,68,Deficient,3/4/19,23.3,0.9,Deficient
174.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),174.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_174.mzML,not applicable,UBERON:0001988,not applicable,3709311,9,68,Deficient,3/1/19,26.2,0.43,Deficient
175.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),175.mzML,not applicable,male,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_175.mzML,not applicable,UBERON:0001988,not applicable,3709311,10,68,Deficient,3/1/19,26.27,0.15,Deficient
177.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),177.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_177.mzML,not applicable,UBERON:0001988,not applicable,3709310,12,68,0.6% Fe,3/1/19,20.4,0.56,0.6% Fe
178.mzML,animal,biofluid,10088|Mus,2020,"solid material, frozen",methanol-water (4:1),sulfadimethoxine,Q Exactive|MS:1001911,electrospray ionization (positive),reverse phase (C18),178.mzML,not applicable,female,feces,not applicable,healthy,not applicable,not applicable,6/11/19,United States of America,not applicable,not applicable,not applicable,not applicable,MSV000084783_178.mzML,not applicable,UBERON:0001988,not applicable,3709310,13,68,0.6% Fe,3/1/19,20,0.97,0.6% Fe
